,customer_email,current_year,last_year
0,baiikostmd@gmail.com,142.57,170.7
1, lfeafnigbu@gmail.com,35.06,54.99
2, tqxsjlgjpi@gmail.com,33.5,107.71
3,hxshgpdxtr@gmail.com,217.35,180.59
4, zvhsssvgor@gmail.com,43.84,21.55
5,jjafctqaqe@gmail.com,82.62,32.09
6,gipqsrvngd@gmail.com,156.06,122.71
7,iqdogiwbsn@gmail.com,234.26,243.29
8,drnjwgseuf@gmail.com,49.62,199.89
9, egkydtstfz@gmail.com,90.82,249.35
10,akwxtbjuki@gmail.com,113.27,246.79
11,hejtkusufw@gmail.com,56.44,129.21
12, uojxdezlzq@gmail.com,132.26,118.55
13,yxbpcskdtb@gmail.com,201.53,120.65
14,qkmpkdqtsk@gmail.com,25.03,29.37
15,zvzvttswub@gmail.com,209.96,103.73
16,tcxbzksocq@gmail.com,162.06,79.72
17, escsjxzsld@gmail.com,80.81,32.56
18,qfvwluheek@gmail.com,218.63,50.14
19,napnxvprik@gmail.com,93.74,115.98
20,pwemaozkbp@gmail.com,17.18,72.57
21,ranozjnsfs@gmail.com,20.62,38.27
22, llagbfmssh@gmail.com,177.08,185.59
23, whfryiocom@gmail.com,123.08,140.35
24, zmgrijncbx@gmail.com,55.45,49.04
25,ffwcjqadde@gmail.com,230.94,190.16
26, hhedltzpiy@gmail.com,237.54,80.7
27,yxtpdgymxn@gmail.com,60.71,99.04
28, xmhkljbtab@gmail.com,103.58,123.97
29,eprqsjrzbp@gmail.com,186.68,6.89
30,mksvdgznqb@gmail.com,4.06,116.81
31,nfyvvsbdpy@gmail.com,223.2,187.65
32, dfvqiiqtpe@gmail.com,41.21,34.86
33, nrvfmiyiab@gmail.com,171.92,220.42
34, hsragfohyc@gmail.com,155.1,161.52
35,xjooyonjxs@gmail.com,50.83,171.66
36, sygkhvqpkz@gmail.com,231.56,69.28
37, dweqywmaxt@gmail.com,184.58,3.55
38,omjtrchrnm@gmail.com,27.9,8.21
39,kvnneunemd@gmail.com,13.9,107.57
40,kgsjjbbrrm@gmail.com,135.92,73.61
41,vwqtszhahr@gmail.com,118.93,226.79
42, kxelvqdwxk@gmail.com,66.89,125.24
43,volpmlokqq@gmail.com,200.5,6.8
44,xyepkoqbfk@gmail.com,192.89,125.37
45, njrvkzexym@gmail.com,110.95,233.89
46,ewjxpqyuyo@gmail.com,218.13,142.79
47, omtpmhbila@gmail.com,214.24,48.25
48, mvcqkzhgvg@gmail.com,127.47,150.02
49, jfailapcjl@gmail.com,226.83,236.47
50,eqoscidxqg@gmail.com,175.84,3.03
51,sbwvksumzd@gmail.com,95.41,51.55
52,ugogkxpwsi@gmail.com,166.48,235.71
53,rgfdusapma@gmail.com,142.54,26.51
54,rfwbhxikcz@gmail.com,119.89,237.11
55,lfoqplkdio@gmail.com,130.06,196.7
56,hintjfrhht@gmail.com,216.46,84.41
57,xjyadtyvig@gmail.com,36.68,101.25
58,owasxpydfe@gmail.com,27.27,124.89
59, yxtfklcmnx@gmail.com,132.29,157.14
60,qyxndrgnds@gmail.com,114.4,128.27
61, jptblbtnwq@gmail.com,232.75,69.8
62,cewcldvijo@gmail.com,12.21,228.57
63,majtkofktn@gmail.com,205.91,160.43
64, zuleahmmda@gmail.com,126.76,24.09
65, bpcgqjsoey@gmail.com,196.61,243.69
66, mwccmvhdgs@gmail.com,120.29,139.72
67,pmdujsxcag@gmail.com,12.72,36.47
68,auhbfmoxju@gmail.com,87.54,130.84
69,vvqujrajxr@gmail.com,233.94,212.66
70,hevvorkxdt@gmail.com,51.87,147.05
71,tmszhbybvl@gmail.com,17.84,120.67
72, zjoxvbbflo@gmail.com,9.84,28.79
73,dukuonpzmt@gmail.com,65.03,13.55
74, vmlcpypdup@gmail.com,231.61,236.25
75,jfsmkwfydr@gmail.com,129.59,132.33
76, sdwaivfcim@gmail.com,1.12,222.26
77,leadrokqlx@gmail.com,146.16,42.9
78,lbmszvuprn@gmail.com,234.05,174.41
79, etdaiqnoal@gmail.com,126.65,232.12
80,lagixzgmdu@gmail.com,134.3,140.25
81, qarmwdgtts@gmail.com,169.08,249.52
82, qvdjcugcts@gmail.com,131.95,228.06
83,zdknswuhne@gmail.com,206.22,148.44
84, vfivdjwcue@gmail.com,187.15,16.95
85,dpaqajhzae@gmail.com,170.18,137.47
86,spzrcwwqjz@gmail.com,206.19,144.73
87,bgmtyapdmw@gmail.com,218.14,100.9
88, inrcigfrnt@gmail.com,90.44,238.79
89, uvwiunboat@gmail.com,136.72,138.86
90,olreyrxqbr@gmail.com,249.37,99.97
91,kyhodeasex@gmail.com,45.59,85.21
92,vxtmojzwdp@gmail.com,163.12,141.47
93, ajnhokjikk@gmail.com,123.76,207.97
94,nrfbgmziuj@gmail.com,176.82,245.69
95, ubkjcvfodm@gmail.com,183.14,178.08
96, gxzocepdbm@gmail.com,245.13,37.62
97,rzqsjbhlfu@gmail.com,29.11,23.6
98, tlbnqwkpmr@gmail.com,184.83,76.11
99, ncntqyqroc@gmail.com,49.91,4.63
100,lofuejwxoz@gmail.com,52.01,44.0
101,tvuaivgdpb@gmail.com,74.64,28.91
102, zldwejibbe@gmail.com,14.14,17.68
103,nsdaadrtpt@gmail.com,236.5,217.55
104,gzhqfangdz@gmail.com,191.85,75.28
105,ksydwkmtiv@gmail.com,212.76,231.95
106, kjksakniqf@gmail.com,121.54,213.85
107, vdxofhttvw@gmail.com,151.44,147.17
108,onfwpseaej@gmail.com,145.62,234.72
109,wqogovpbni@gmail.com,216.86,37.95
110,lopgdgrbno@gmail.com,124.79,182.2
111, nhkashsxxj@gmail.com,154.09,151.23
112,gpbbhcelqo@gmail.com,160.93,200.25
113, rzfgfhfhmb@gmail.com,51.71,62.8
114, fnxxltqvsj@gmail.com,73.09,215.42
115,wyfganzlii@gmail.com,38.36,220.54
116, evccwirxli@gmail.com,77.99,166.41
117,vncjahmgpk@gmail.com,63.14,219.05
118,lhcutaqwec@gmail.com,154.86,126.13
119,hxiwggyybm@gmail.com,188.87,86.83
120,nhiapinhgu@gmail.com,94.13,177.13
121,xfbbujzceq@gmail.com,122.42,237.01
